date,close,change%
2019-11-18,3122.030029,0.132
2019-11-15,3120.459961,0.403
2019-11-14,3096.629883,0.19
2019-11-13,3094.040039,0.32
2019-11-12,3091.840088,0.083
2019-11-11,3087.01001,0.217
2019-11-08,3093.080078,0.384
2019-11-07,3085.179932,-0.06
2019-11-06,3076.780029,0.055
2019-11-05,3074.620117,-0.201
2019-11-04,3078.27002,-0.022
2019-11-01,3066.909912,0.531
2019-10-31,3037.560059,-0.307
2019-10-30,3046.77002,0.231
2019-10-29,3036.889893,0.049
2019-10-28,3039.419922,0.241
2019-10-25,3022.550049,0.64
2019-10-24,3010.290039,-0.149
2019-10-23,3004.52002,0.351
2019-10-22,2995.98999,-0.49
2019-10-21,3006.719971,0.342
2019-10-18,2986.199951,-0.355
2019-10-17,2997.949951,-0.094
2019-10-16,2989.689941,0.0
2019-10-15,2995.679932,0.742
2019-10-14,2966.149902,0.011
2019-10-11,2970.27002,0.243
2019-10-10,2938.129883,0.671
2019-10-09,2919.399902,0.285
2019-10-08,2893.060059,-0.936
2019-10-07,2938.790039,-0.185
2019-10-04,2952.01001,1.146
2019-10-03,2910.629883,0.875
2019-10-02,2887.610107,-1.271
2019-10-01,2940.25,-1.456
2019-09-30,2976.73999,0.326
2019-09-27,2961.790039,-0.793
2019-09-26,2977.620117,-0.272
2019-09-25,2984.870117,0.557
2019-09-24,2966.600098,-1.193
2019-09-23,2991.780029,0.278
2019-09-20,2992.070068,-0.543
2019-09-19,3006.790039,-0.119
2019-09-18,3006.72998,0.174
2019-09-17,3005.699951,0.335
2019-09-16,2997.959961,0.052
2019-09-13,3007.389893,-0.16
2019-09-12,3009.570068,0.016
2019-09-11,3000.929932,0.655
2019-09-10,2979.389893,0.282
2019-09-09,2978.429932,-0.335
2019-09-06,2978.709961,-0.054
2019-09-05,2976.0,0.52
2019-09-04,2937.780029,0.448
2019-09-03,2906.27002,-0.094
2019-08-30,2926.459961,-0.362
2019-08-29,2924.580078,0.488
2019-08-28,2887.939941,0.932
2019-08-27,2869.159912,-0.829
2019-08-26,2878.379883,0.407
2019-08-23,2847.110107,-2.197
2019-08-22,2922.949951,-0.273
2019-08-21,2924.429932,0.082
2019-08-20,2900.51001,-0.634
2019-08-19,2923.649902,0.349
2019-08-16,2888.679932,0.836
2019-08-15,2847.600098,0.049
2019-08-14,2840.600098,-1.85
2019-08-13,2926.320068,1.583
2019-08-12,2882.699951,-0.838
2019-08-09,2918.649902,-0.405
2019-08-08,2938.090088,1.446
2019-08-07,2883.97998,0.886
2019-08-06,2881.77002,0.72
2019-08-05,2844.73999,-1.84
2019-08-02,2932.050049,-0.403
2019-08-01,2953.560059,-0.898
2019-07-31,2980.379883,-1.188
2019-07-30,3013.179932,0.184
2019-07-29,3020.969971,-0.116
2019-07-26,3025.860107,0.418
2019-07-25,3003.669922,-0.417
2019-07-24,3019.560059,0.693
2019-07-23,3005.469971,0.358
2019-07-22,2985.030029,0.104
2019-07-19,2976.610107,-0.92
2019-07-18,2995.110107,0.545
2019-07-17,2984.419922,-0.688
2019-07-16,3004.040039,-0.269
2019-07-15,3014.300049,-0.116
2019-07-12,3013.77002,0.347
2019-07-11,2999.909912,0.01
2019-07-10,2993.070068,0.126
2019-07-09,2979.629883,0.476
2019-07-08,2975.949951,-0.128
2019-07-05,2990.409912,0.206
2019-07-03,2995.820068,0.596
2019-07-02,2973.01001,0.282
2019-07-01,2964.330078,-0.238
2019-06-28,2941.76001,0.301
2019-06-27,2924.919922,0.18
2019-06-26,2913.780029,-0.42
2019-06-25,2917.379883,-0.964
2019-06-24,2945.350098,-0.206
2019-06-21,2950.459961,-0.076
2019-06-20,2954.179932,0.155
2019-06-19,2926.459961,0.202
2019-06-18,2917.75,0.38
2019-06-17,2889.669922,-0.003
2019-06-14,2886.97998,0.006
2019-06-13,2891.639893,0.187
2019-06-12,2879.840088,-0.1
2019-06-11,2885.719971,-0.604
2019-06-10,2886.72998,0.031
2019-06-07,2873.340088,0.718
2019-06-06,2843.48999,0.53
2019-06-05,2826.149902,0.286
2019-06-04,2803.27002,1.471
2019-06-03,2744.449951,-0.257
2019-05-31,2752.060059,-0.509
2019-05-30,2788.860107,0.069
2019-05-29,2783.02002,-0.259
2019-05-28,2802.389893,-0.977
2019-05-24,2826.060059,-0.224
2019-05-23,2822.23999,-0.51
2019-05-22,2856.27002,0.007
2019-05-21,2864.360107,0.362
2019-05-20,2840.22998,-0.06
2019-05-17,2859.530029,0.033
2019-05-16,2876.320068,0.719
2019-05-15,2850.959961,1.084
2019-05-14,2834.409912,0.507
2019-05-13,2811.870117,-0.997
2019-05-10,2881.399902,0.639
2019-05-09,2870.719971,0.38
2019-05-08,2879.419922,-0.007
2019-05-07,2884.050049,-0.995
2019-05-06,2932.469971,0.811
2019-05-03,2945.639893,0.561
2019-05-02,2917.52002,-0.159
2019-05-01,2923.72998,-0.969
2019-04-30,2945.830078,0.296
2019-04-29,2943.030029,0.083
2019-04-26,2939.879883,0.481
2019-04-25,2926.169922,-0.096
2019-04-24,2927.25,-0.23
2019-04-23,2933.679932,0.814
2019-04-22,2907.969971,0.317
2019-04-18,2905.030029,0.008
2019-04-17,2900.449951,-0.535
2019-04-16,2907.060059,-0.179
2019-04-15,2905.580078,-0.094
2019-04-12,2907.409912,0.226
2019-04-11,2888.320068,-0.124
2019-04-10,2888.209961,0.237
2019-04-09,2878.199951,-0.29
2019-04-08,2895.77002,0.253
2019-04-05,2892.73999,0.297
2019-04-04,2879.389893,0.188
2019-04-03,2873.399902,-0.094
2019-04-02,2867.23999,-0.035
2019-04-01,2867.189941,0.652
2019-03-29,2834.399902,0.217
2019-03-28,2815.439941,0.215
2019-03-27,2805.370117,-0.509
2019-03-26,2818.459961,0.206
2019-03-25,2798.360107,0.084
2019-03-22,2800.709961,-1.54
2019-03-21,2854.879883,1.247
2019-03-20,2824.22998,-0.251
2019-03-19,2832.570068,-0.288
2019-03-18,2832.939941,0.366
2019-03-15,2822.47998,0.416
2019-03-14,2808.47998,-0.068
2019-03-13,2810.919922,0.398
2019-03-12,2791.52002,0.15
2019-03-11,2783.300049,1.299
2019-03-08,2743.070068,0.45
2019-03-07,2748.929932,-0.636
2019-03-06,2771.449951,-0.674
2019-03-05,2789.649902,-0.17
2019-03-04,2792.810059,-0.766
2019-03-01,2803.689941,0.195
2019-02-28,2784.48999,-0.13
2019-02-27,2792.379883,0.175
2019-02-26,2793.899902,0.055
2019-02-25,2796.110107,-0.294
2019-02-22,2792.669922,0.432
2019-02-21,2774.879883,-0.193
2019-02-20,2784.699951,0.203
2019-02-19,2779.76001,0.378
2019-02-15,2775.600098,0.556
2019-02-14,2745.72998,0.081
2019-02-13,2753.030029,0.099
2019-02-12,2744.72998,0.812
2019-02-11,2709.800049,-0.096
2019-02-08,2707.879883,0.576
2019-02-07,2706.050049,-0.422
2019-02-06,2731.610107,-0.126
2019-02-05,2737.699951,0.343
2019-02-04,2724.870117,0.679
2019-02-01,2706.530029,0.156
2019-01-31,2704.100098,0.693
2019-01-30,2681.050049,1.034
2019-01-29,2640.0,-0.185
2019-01-28,2643.850098,-0.042
2019-01-25,2664.76001,0.275
2019-01-24,2642.330078,0.132
2019-01-23,2638.699951,-0.181
2019-01-22,2632.899902,-0.94
2019-01-18,2670.709961,0.733
2019-01-17,2635.959961,1.023
2019-01-16,2616.100098,0.052
2019-01-15,2610.300049,0.975
2019-01-14,2582.610107,0.089
2019-01-11,2596.26001,0.315
2019-01-10,2596.639893,0.899
2019-01-09,2584.959961,0.192
2019-01-08,2574.409912,0.245
2019-01-07,2549.689941,0.555
2019-01-04,2531.939941,2.328
2019-01-03,2447.889893,-1.767
2019-01-02,2510.030029,1.335
2018-12-31,2506.850098,0.317
2018-12-28,2485.73999,-0.521
2018-12-27,2488.830078,1.897
2018-12-26,2467.699951,4.425
