date,BTC,LTC,XRP,ETH,BCN,sp500_close,change%,silver_close,silver_rate%,gold_close,gold_rate%
2017-12-08,16569.40039,124.846001,0.252125,456.031006,0.002736,2651.5,0.2,15.823,0.002407349,1248.4,0.001202983
2017-12-07,17899.69922,98.292397,0.222823,434.40799,0.002748,2636.97998,0.327,15.802,-0.001327182,1253.1,0.003764819
2017-12-06,14291.5,100.351997,0.232544,428.588013,0.002373,2629.27002,0.115,15.955,0.009682319,1266.1,0.010374272
2017-12-05,11916.7002,102.397003,0.246101,463.281006,0.002374,2629.570068,-0.387,16.068,0.007082419,1264.9,-0.000947792
2017-12-04,11657.2002,104.236,0.253571,470.20401,0.00212,2639.439941,-0.668,16.373,0.018981827,1277.7,0.010119377
2017-12-01,10975.59961,99.0037,0.255699,466.540009,0.001726,2642.219971,-0.109,16.388,0.000916142,1282.3,0.003600219
2017-11-30,10233.59961,88.330704,0.250878,447.114014,0.001596,2647.580078,0.518,16.474,0.005247742,1276.7,-0.004367153
2017-11-29,9888.610352,85.570999,0.243064,427.52301,0.001573,2626.070068,-0.067,16.561,0.005281049,1286.2,0.007441059
2017-11-28,10058.79981,96.033798,0.299152,472.902008,0.001768,2627.040039,0.81,16.918,0.021556669,1299.2,0.010107293
2017-11-27,9818.349609,91.602699,0.253927,480.355011,0.00175,2601.419922,-0.048,17.119,0.011880837,1298.9,-0.000230911
2017-11-24,8253.69043,77.9683,0.244642,474.911011,0.001582,2602.419922,0.077,17.093,-0.00151878,1291.8,-0.005466164
2017-11-22,8253.549805,71.892799,0.238859,380.652008,0.001558,2597.080078,-0.124,17.216,0.007195928,1296.8,0.003870568
2017-11-21,8071.259766,70.028297,0.233271,360.401001,0.001302,2599.030029,0.381,16.96,-0.014869888,1281.7,-0.011644047
2017-11-20,8200.639648,72.2528,0.238759,366.730011,0.001281,2582.139893,0.103,16.842,-0.006957547,1275.3,-0.004993368
2017-11-17,7708.990234,67.569,0.226581,332.394012,0.001202,2578.850098,-0.158,17.373,0.031528322,1296.5,0.01662354
2017-11-16,7871.689941,71.060204,0.227107,330.924011,0.001249,2585.639893,0.493,17.072,-0.017325735,1278.2,-0.014114925
2017-11-15,7315.540039,63.823601,0.212956,333.356995,0.00123,2564.620117,-0.188,16.971,-0.00591612,1277.7,-0.000391175
2017-11-14,6635.75,62.6796,0.209825,337.631012,0.001128,2578.870117,0.043,17.073,0.006010253,1282.9,0.004069813
2017-11-13,6559.490234,61.3965,0.203442,316.716003,0.001152,2584.840088,0.323,17.047,-0.001522872,1278.9,-0.003117936
2017-11-10,6618.140137,59.260101,0.206483,299.252991,0.001237,2582.300049,0.082,16.871,-0.010324397,1274.2,-0.003675033
2017-11-09,7143.580078,64.269699,0.217488,320.884003,0.001358,2584.620117,0.024,16.975,0.006164424,1287.5,0.010437922
2017-11-08,7459.689941,62.573101,0.217437,309.070007,0.001268,2594.379883,0.219,17.138,0.009602356,1283.7,-0.002951456
2017-11-07,7144.379883,61.2952,0.210354,294.658997,0.001292,2590.639893,-0.057,16.94,-0.011553273,1275.8,-0.006154086
2017-11-06,7022.759766,55.173698,0.20599,298.891998,0.001192,2591.129883,0.141,17.235,0.017414404,1281.6,0.004546167
2017-11-03,7207.759766,56.1814,0.208133,305.710999,0.001225,2587.840088,0.229,16.834,-0.023266609,1269.2,-0.009675406
2017-11-02,7078.5,54.737301,0.205861,287.428986,0.001225,2579.850098,0.015,17.137,0.017999287,1278.1,0.007012291
2017-11-01,6767.310059,53.180801,0.194124,291.694,0.001411,2579.360107,-0.149,17.176,0.002275778,1277.3,-0.000625929
2017-10-31,6468.399902,55.754101,0.200558,305.878998,0.00141,2575.26001,-0.028,16.693,-0.028120633,1270.5,-0.00532373
2017-10-30,6130.529785,56.390499,0.202711,307.751007,0.001372,2572.830078,-0.191,16.847,0.009225424,1277.7,0.00566706
2017-10-27,5780.899902,55.332401,0.202785,297.423004,0.001334,2581.070068,0.421,16.752,-0.005638986,1271.8,-0.004617672
2017-10-26,5904.830078,55.737999,0.203628,296.527008,0.001342,2560.399902,0.012,16.811,0.003521968,1269.6,-0.001729832
2017-10-25,5750.799805,56.494301,0.204604,297.924988,0.001396,2557.149902,-0.365,16.925,0.006781274,1279,0.007403907
2017-10-24,5526.640137,55.9632,0.206644,298.328003,0.001392,2569.129883,0.018,16.966,0.002422452,1278.3,-0.000547303
2017-10-23,5930.319824,54.9202,0.196928,286.950012,0.001323,2564.97998,-0.508,17.075,0.006424614,1280.9,0.002033951
2017-10-20,6011.450195,60.330601,0.210549,304.006012,0.001511,2575.209961,0.298,17.078,0.000175695,1280.5,-0.00031228
2017-10-19,5708.52002,59.7397,0.21515,308.088013,0.001464,2562.100098,0.341,17.255,0.010364211,1290,0.007418977
2017-10-18,5590.689941,60.730801,0.21852,314.319,0.001404,2561.26001,-0.063,16.997,-0.014952188,1283,-0.005426357
2017-10-17,5605.509766,59.479,0.232064,317.082001,0.001399,2559.360107,0.086,17.041,0.002588692,1286.2,0.002494154
2017-10-16,5725.589844,64.621902,0.256232,333.384003,0.001452,2557.639893,0.081,17.369,0.019247697,1303,0.013061732
2017-10-13,5647.209961,59.428902,0.260489,338.756989,0.001413,2553.169922,-0.097,17.411,0.002418101,1304.6,0.001227936
2017-10-12,5446.910156,60.107601,0.248414,304.135986,0.001423,2550.929932,-0.076,17.266,-0.008328068,1296.5,-0.0062088
2017-10-11,4826.47998,50.887501,0.264439,303.455994,0.001455,2555.23999,0.181,17.133,-0.007703,1288.9,-0.005861936
2017-10-10,4781.990234,50.717098,0.260733,299.869995,0.001335,2550.639893,0.025,17.207,0.00431915,1293.8,0.003801691
2017-10-09,4772.02002,50.164001,0.251825,297.391998,0.001342,2544.72998,-0.261,16.971,-0.013715348,1285,-0.00680167
2017-10-06,4370.810059,52.120098,0.234039,308.588013,0.001286,2549.330078,0.074,16.79,-0.010665252,1274.9,-0.007859922
2017-10-05,4328.410156,51.669498,0.237016,295.863007,0.001259,2552.070068,0.441,16.638,-0.009053008,1273.2,-0.001333438
2017-10-04,4229.359863,51.399502,0.214774,292.65799,0.001261,2537.73999,0.168,16.624,-0.000841447,1276.8,0.002827521
